title,leadership,focus,experience_level,company_name,company_industry,location,city,state,remote,salary_range,salary_min,salary_max,employment_type,required_education,job_id
Data Scientist,None,AI/ML,Senior,UCLA Health Careers,Healthcare,"Los Angeles, CA",Los Angeles,CA,On-Site,$108k - $228k,108000.0,228000.0,Full-Time,Bachelors,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCAoRmxleCBIeWJyaWQpLiIsImh0aWRvY2lkIjoiOW1xeldkT2FzUVdrRUZ1WUFBQUFBQT09IiwiZmMiOiJFc3NDQ293Q1FVNTFWMmhqYTFCdU1VODFjVGRVTjNac2JURlFUMHg0UmxadFkxWndjbGR4WmpSVFVGVk5kVEZUTjNCSmNWTlRibkkwUWxGc1YxTjRRVmM0TVZoeGIyTnRWVXA1TjJwRWMxOW5YMWwzTVV4dE9GcFFiV3BvYzJrMU5uZEhZVkJIZEVaVk4xTkdVSFZTVlRjdE16Rk9XbFpsTFRaMFVtdDFSMmR2VmtsalUxZ3diVE51Ym5KVE1uTnFlRFJTUWpBeFJtdGtXbFJoTTJsU2JEVTROelJLUjAxQ1JETTRVR3BhVVMxMlkxUmxlRWhZVVUxQ2JrSjRjVmwzU0RNMU16ZEtlbDlpWkVobldHWjVXbXhCTjBKS1gySnBjelpUVXpsS2RYbzFaRVpzU1ZGRFJucEdlSGRaUTJONVpFZFJUV3BwTVZjemNGWm1USGs1Ym5aelRFcFRiMDB4VDNGSGVGcGhiVk5UTlJJV1pqUkliVnBrYjJWNWMyRlJPR2N0Tkhod2VWRkNVUm9pUVZCWWFHMDFZVkZxUVhaalYweFhNek5yTUZKZmRuRkhSRzVCVmtaM2VscFFadyIsImZjdiI6IjMiLCJmY19pZCI6ImZjXzMiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQXBwbHkgb24gVUNMQSBIZWFsdGggQ2FyZWVycyIsImxpbmsiOiJodHRwczovL3d3dy51Y2xhaGVhbHRoY2FyZWVycy5vcmcvam9iLzE3OTYzOTkwL2RhdGEtc2NpZW50aXN0LWxvcy1hbmdlbGVzLWNhLz91dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19
"Director, Data Science - Personalization & Product Analytics",Director,Personalization & Product Analytics,Senior,Univision,Media,"Los Angeles, CA",Los Angeles,CA,On-Site,$170k - $215k,170000.0,215000.0,Full-Time,Bachelors,eyJqb2JfdGl0bGUiOiJEaXJlY3RvciwgRGF0YSBTY2llbmNlIC0gUGVyc29uYWxpemF0aW9uIFx1MDAyNiBQcm9kdWN0IEFuYWx5dGljcyIsImh0aWRvY2lkIjoiQld3cEFCN0NILS1aajZuWEFBQUFBQT09IiwiZmMiOiJFdUVDQ3FJQ1FVNTFWMmhqYkRCWmJITTRSM0U1ZDFNNFdWVjNaa3gzV0hsS2RXdHNWRFZuWHpSRGVHTTNSREp1ZVRSYWExOU1SVVZvTm14bVNVZEhUMVV0WDFjemFEWlZOVUpCYlhaaU1GWjJPRkpqYUc1TlNITkVWV05tVFdWU2N6RXpSR2R5WmtwMFYwcHRYM0ZLU21oTFVYcGxjbFV3VXpNM1JHazFlVXQzZHpoWldITXRVMUZmT0RGeU4xRnJPRkkzZUdadmFrWkpkazV4U0RCaVMxTkJVMkZXVEZwVFpUaHVTbXBQTm05aWVuZDJlV0pxWTBOcFozRnJURzA1ZFcxSlMxbFNPREJZZUhoMFgwZElYMTlmWkRSTVVqbHhZWGszY2s5dFNIcEViVEpMYlV0RmRVVlFPRzQ1T0dsdk5EZFZORWhLVDAxU2VVNDRPVzFQVEc4emJreDBlVzVuVVRkTVZUWTVjVlYyYW5ac1FuRmxNV0ZIUmtSa2NEUXRMVFZqTVVSTWJIY1NGbVkwU0cxYVpHOWxlWE5oVVRobkxUUjRjSGxSUWxFYUlrRlFXR2h0TldKUlVVcGZPV3RzTmxCUlp6SlVjazlSVGs5ZlVucFlRVTl6ZFdjIiwiZmN2IjoiMyIsImZjX2lkIjoiZmNfNSIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiJBcHBseSBvbiBMaW5rZWRJbiIsImxpbmsiOiJodHRwczovL3d3dy5saW5rZWRpbi5jb20vam9icy92aWV3L2RpcmVjdG9yLWRhdGEtc2NpZW5jZS1wZXJzb25hbGl6YXRpb24tcHJvZHVjdC1hbmFseXRpY3MtYXQtdW5pdmlzaW9uLTM4NDIwMzAyNjE/dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==
Data Scientist,None,Data Sciences,Senior,Exponent,Consulting,"Los Angeles, CA",Los Angeles,CA,On-Site,$80k - $100k,80000.0,100000.0,Full-Time,Ph.D,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCBhdCBFeHBvbmVudCBpbiBMb3MgQW5nZWxlcywgQ0EiLCJodGlkb2NpZCI6Ik15TVhzMF9tdnh5VXMwSlRBQUFBQUE9PSIsImZjIjoiRXNzQ0Nvd0NRVTUxVjJoamEycHVaMlZtV2poc1NqWm1PVTFRZEZWVVpscFVSV3RWY1hWaU9EZHhRMXBKWW1SWWFXYzFjRFYzYlV3MFkwNXFURGgwTTFaWGRrdDBjbU00VkdoTmRtMTFaa28wTWpSWVFtNVZNMnRDYUhKT04yOTFjRkpNUVZaVWMzSm5hazlQVURKTVYyWldSM1ZuV0ZWS0xUYzJlVXQyTVcxclpETTBhVXQwUmtsSVl6RlNlREYxVjNwRFpVWkhTRUZEUVc4eFNWVlFVVlZZTkRCNmJ6UXlaMTlEVFVKVFRuTnJXamhVUm0xdlRVZG5VVEJ3YXkwdFIxTlJXVFkyZUhwWlp6TjRTbHBNWldkbWEwdHpVRkEwTUVKM2NtaHFNekJ4Tm1ZMVJuUnRVbTVCTlVoMVdHNUNhV2xzYkVwRVprZDFVVU4zZVVKNWRqQlBXbmt6T1RoSlFsWlRjWFJCVTFVNU1CSVdaalJJYlZwa2IyVjVjMkZST0djdE5IaHdlVkZDVVJvaVFWQllhRzAxWWxwRWRHNXRWM2d5ZEVGRVlUTkViR0ZKUzBSTWFUQllOVFZTUVEiLCJmY3YiOiIzIiwiZmNfaWQiOiJmY183IiwiYXBwbHlfbGluayI6eyJ0aXRsZSI6IkFwcGx5IGRpcmVjdGx5IG9uIExvcyBBbmdlbGVzIENBIEdlZWJvLmNvbSBGcmVlIENsYXNzaWZpZWRzIEFkcyAtIEdlZWJvIiwibGluayI6Imh0dHBzOi8vbG9zYW5nZWxlcy1jYS5nZWViby5jb20vam9icy1vbmxpbmUvdmlldy9pZC8xMDQ3NDg5OTU4LWRhdGEtc2NpZW50aXN0LWF0LWV4cG9uZW50LS8/dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==
Senior Data Scientist,None,Content Data Science,Senior,Warner Bros. Discovery,Entertainment,"Los Angeles, CA",Los Angeles,CA,On-Site,$120k - $222k,120000.0,222000.0,Full-Time,Masters,eyJqb2JfdGl0bGUiOiJTZW5pb3IgRGF0YSBTY2llbnRpc3QiLCJodGlkb2NpZCI6InNwUElnaFdHZ1hkS09pR1BBQUFBQUE9PSIsImZjIjoiRXJZQ0N2Y0JRVTUxVjJoamJFTlZVa1pRVGpCSFIyUjZiM2xRT0U4MmVVNU5WMWMzWlVnMmFVY3pSRE13V1RSRVRqZEZiRGh6VTNWVVJFSnVORjlNZFhoNE4zZGFhbVkxWDFWRE5GZG1WVkpLVXpKWlNXeHhOV3BHTjNCQlRHWmFkWGhOWTBadlZ6ZDNWR2c0VDNCMFpqWk1ORTFQYWt0eWVqSTVOaTA1TW1GMUxVZHNWVGR2WlRsdlprYzJkVEU0WVUwelNqbEtURkY2VHpWd09GQmxWMHhUVUZkTFRURnlhekJmTkRWR2VWSkNWVWxoYlRsSU1GSm9lbGhUU0hoUFdEWnNRV05aV1ZCa1VteFpNVGhvYW05QlkyZzRVemw2V1RkUk1UZ3dTa0Z4Y3pWV01qaERjM1ZQU2pSeVdrVlJObTQzZDFKQlNFNXVjblpSWnhJV1pqUkliVnBrYjJWNWMyRlJPR2N0Tkhod2VWRkNVUm9pUVZCWWFHMDFXV28yUTBkTVIxQTRWa0ZwVG01cFJ5MDJiMWhLV25SbVZHSnJadyIsImZjdiI6IjMiLCJmY19pZCI6ImZjXzkiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQXBwbHkgb24gQnVpbHQgSW4gTEEiLCJsaW5rIjoiaHR0cHM6Ly93d3cuYnVpbHRpbmxhLmNvbS9ub2RlLzE1ODkwOD91dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19
Other,None,Data Science,Mid,AmeriCorps,Non-Profit,"Los Angeles, CA",Los Angeles,CA,Full-Time,$54k - $107k,54000.0,107000.0,Full-Time,Bachelors,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVuY2UgVklTVEEiLCJodGlkb2NpZCI6IjRFWFllcGg0Q1Z2eF9YZm9BQUFBQUE9PSIsImZjIjoiRXFFQ0N1SUJRVTUxVjJoamJIUnBiRkJsWDB0cVdIRkpiVTFxWjJkdlRsRmZZbkZ6U21NM2VXOXZaVWRWYlU5eFkzaDRPWFJsVkhKeWVUVkZlRXAzU1dRd1RqRTVNVWt0VEVOdVJtUk5ZMWhuZEZGWk1XcENOVUowZFdsT2RuQkJPVTVZY2xSaFNGWnVORk10VTE5dmJFUldTRVl0TkRsUmVUbGxTRjlhTmtadWMxVXhlVjk2VFUxUGRHWTFhMVZxUzFOaFMyTnJXR0pKY0hJMmFFSnhjRjlVVVc1cFIybEtXbG8xVlhoeVQyWnpjakpzYUROSU5taFNhV0U1T0VacmVsVlZjbkp2VWxjMk5rVjVTMVpUZDA5VVZIUXliVlUxVlhsWlIxWnpSRGxCU1ROMFExOXBkeElXWmpSSWJWcGtiMlY1YzJGUk9HY3ROSGh3ZVZGQ1VSb2lRVkJZYUcwMVdtUnJNRll4UTFWNU5ETkZVMEpHYjNwUVFsUkJUVVZLVGs4Mlp3IiwiZmN2IjoiMyIsImZjX2lkIjoiZmNfMTEiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQXBwbHkgb24gWmlwUmVjcnVpdGVyIiwibGluayI6Imh0dHBzOi8vd3d3LnppcHJlY3J1aXRlci5jb20vYy9BbWVyaUNvcnBzL0pvYi9EYXRhLVNjaWVuY2UtVklTVEEvLWluLUxvcy1BbmdlbGVzLENBP2ppZD1mYjFlYTYxNGQzOTNlMzY5XHUwMDI2dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==
Data Scientist,None,Machine Learning Operations,Mid,PMI (Project Management Institute),Unknown,"Los Angeles, CA",Los Angeles,CA,Ambiguous,$115k - $140k,115000.0,140000.0,Full-Time,Bachelors,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCBJIiwiaHRpZG9jaWQiOiJ4YzNEbHpDeVo4VXloWDBYQUFBQUFBPT0iLCJmYyI6IkVyWUNDdmNCUVU1MVYyaGphMnBmY1daa1lVTkRabXRHWld0TE1USlZOemcxZUVseVpYUmFNM2hZUm5SYUxYUllkbVpOUTJRMFQxSXRXbE5XZUhobFh6bDJkMVpMWW5Gd2RXUTBlalJNWmpOa1NrRTJlR0pxVkhVek56QlFTa2R2UWxOT2IzTmpVbWRKVlRGbmNVTkxlRk5NTFcxdlJVRjNUWEl5VmpsaVIxbEtSMVZxWlZSbkxVc3dibk5KVUZkTFVuRjFMVzlrYldsM1pWbHFTRFJVVWt0Mk1qQnZiVFl6VjJKSExXMDJMV1o2Y21wSWNteFJkVXN3YmsxeU0yUXpVWFJhYnpaTGNrUTJVRzVRYVdFNVgyVjNTaTFCUlhoSlh6Vk9OekJJVDFKbE1qSXdURFpLTUhWVk4wbEZPRW8yZEUxRGJ6WlBhM2gwY0ZCaVZSSVdaalJJYlZwa2IyVjVjMkZST0djdE5IaHdlVkZDVVJvaVFWQllhRzAxWVVKdWNFeGlWRmwyWTBrNGQyeHBXVEpPTTJWVVJHTm1TRlpZZHciLCJmY3YiOiIzIiwiZmNfaWQiOiJmY18xMyIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiJBcHBseSBvbiBTbmFnYWpvYiIsImxpbmsiOiJodHRwczovL3d3dy5zbmFnYWpvYi5jb20vam9icy84OTI0NjEyODI/dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==
Data Scientist,None,Python Development,Mid,Nirvana Enterprises,Other,"Los Angeles, CA",Los Angeles,CA,On-Site,$100k - $130k,100000.0,130000.0,Full-Time,Bachelors,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCB3aXRoIFB5dGhvbiBEZXZlbG9wbWVudCBleHBlcmllbmNlIiwiaHRpZG9jaWQiOiJXYzg5a1pMU1pwbWlXd0F0QUFBQUFBPT0iLCJmYyI6IkVzc0NDb3dDUVU1MVYyaGphMUpRYUZsVFFtbzBaRWxqVGxoU1VUTTJUemx4YVU1RU5YRkJNR3BzT1VWNlZXVjNOSEU0TjBGa2VuVTBWWGhyUzFad1EyMXdUVXBFV0d4VWVGbEtNRTk0TVZsbk5XdE1UbEF6T0U1UFQyZEZNMlpxTUdkWlVWUmxlRlV4WVhwMGRESnBOM0ZtU2psWFNHUlRjemN6Y0hWeWF6Rk1RbEl6ZWpNNWQwc3hjRXhwWkZnMVpHcDRaV1JNYlhaTlZtNTJVemRQZVV0SExWSTBaVXhxYzFSdVIweEtWMjR6WXpscU5YQkNWazVKZGtsNE5FUklXa3BWZURSZk1VeG1WbmRKTVVKaFFUVllZMmc0YTNFeVUzQmtiMFJpVjNGR1luTXlRa3RJY21KVVNGQlJTV2hzZVdKcU16WlVXblJaY1Zkck9HazFabkZXVlZOblVIbHFXRGhaVFZGbGFDMVhReElXWmpSSWJWcGtiMlY1YzJGUk9HY3ROSGh3ZVZGQ1VSb2lRVkJZYUcwMVlTMTRZWEJ6VVdGR1FqWnBWVVpEVGxJM2FTMXNXaTFRWjBnM1FRIiwiZmN2IjoiMyIsImZjX2lkIjoiZmNfMTUiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQXBwbHkgb24gSW5kZWVkIiwibGluayI6Imh0dHBzOi8vd3d3LmluZGVlZC5jb20vdmlld2pvYj9qaz0wM2M2YjAzZDIzOTlkNzg2XHUwMDI2dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==
Data Scientist,None,Python Development,Entry,SynergisticIT,Technology,"Los Angeles, CA",Los Angeles,CA,Remote,$54k - $107k,54000.0,107000.0,Full-Time,Bachelors,eyJqb2JfdGl0bGUiOiJFbnRyeSBMZXZlbCBEYXRhIFNjaWVudGlzdCAoUmVtb3RlKSIsImh0aWRvY2lkIjoiRDFUdTRETUlOZlk3R2N6c0FBQUFBQT09IiwiZmMiOiJFcUVDQ3VJQlFVNTFWMmhqYkRkaVYxZEtlVXBRV2tGeGVGWXhkVWxhY2xaNU9XMWlhMkZWYmpabGJFTnVPRlZrTURrNFZ6aFVhMlJMTldwR1RFRnZlVW96YWs5WFdVNXBOM05HVW5oSlkwNVBZM1JJWWxWMmFqTmxhRFJHTVY5UFVsUlJkbFpyUjNBM2FuTTVTRGxWVUVsYVZYUllVMnRNTTJrMFQzSktjRnBLYTBSbFlVZDBlVWh3TkRaQk5WQk9Ua2haVG5SUVZGRTNRWHBZV0RORFRHSllVME5tYWpNNGNHVlpXRTVWTWpSaVNGZFdiWE5JTkhONmNHUnliRGh6ZW5NMWVHZE9Oa0ZGV2tORmRXSmZkV2hhUWpGSllVaDBVbWd6TjBOUVVtMHlYMWRCY0dWWmR4SVdaalJJYlZwa2IyVjVjMkZST0djdE5IaHdlVkZDVVJvaVFWQllhRzAxWVZWU2RqSk9UbVJGYTNsSWVYRmhSRFZZWmxCV09FUmxPRk5oUVEiLCJmY3YiOiIzIiwiZmNfaWQiOiJmY18xNiIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiJBcHBseSBvbiBMaW5rZWRJbiIsImxpbmsiOiJodHRwczovL3d3dy5saW5rZWRpbi5jb20vam9icy92aWV3L2VudHJ5LWxldmVsLWRhdGEtc2NpZW50aXN0LXJlbW90ZS1hdC1zeW5lcmdpc3RpY2l0LTM4MTgzNjY1OTg/dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==
Data Scientist,None,Product Analytics,Senior,Facebook,Social Media,"Los Angeles, CA",Los Angeles,CA,Ambiguous,$200k - $250k,200000.0,250000.0,Full-Time,Bachelors,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCwgUHJvZHVjdCBBbmFseXRpY3MgLSBCdXNpbmVzcyBJbnRlZ3JpdHkgYXQgRmFjZWJvb2sgaW4gTG9zIEFuZ2VsZXMsIENBIiwiaHRpZG9jaWQiOiJWNHAyMTVEZVF3TGw3YmUzQUFBQUFBPT0iLCJmYyI6IkV2WUNDcmNDUVU1MVYyaGphMWx1U2pkVlJVWjFSR1JYYTBScllqVlNWMkpOUWtod1owbHNhalJDTFRkUmNFOW1jSFEzZDJoamFuRndXR3A1TVhGaVpqQm5aRzl2UkZGcFVFSmxRMWhwVVc1emJrVjNhRkp5Y3pSTk1VaDJkMUpSZDBkSGRVOU5OR3RwTUV0amEyaDZXVEJ4YUVoSGNraFBORWhFUWs5S2QwbzNObm94YVZoNVZHWklZbFkzUzJoclNrdEVlamhFV0dremNVMXBaVWQxTmxsd1RFaHJWMGxWY1VGeVIweDRNRTlrUVRoM2MzVmZXVGxOWjBsWFdIUTFhRlIwT0VwcFZIY3dZWGxzUkZabWVsUTJOamhQTkZZeVkwbHNUbVJwVUdGMmJ6TnpNekZMWWpGRFExOTVWR2RsWjFjdFJEZEdXazh0ZUV4R1gxTk9jVlpMU1hWMGFGTkdOMTlMYTBweGNEbE5WRTFMVDBKRVJXNWlWbnBxYVZGb1luZ3hMWGhwT0V4TWNuVm5TR2x0T0ZJMVMzRjVTWGwyT0VOMVdWVVNGbVkwU0cxYVpHOWxlWE5oVVRobkxUUjRjSGxSUWxFYUlrRlFXR2h0TldKdlVFWk1iVmM1WW5KaFNIa3dORWR5TUU5T09IcFRielZ3YUdjIiwiZmN2IjoiMyIsImZjX2lkIjoiZmNfMTciLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQXBwbHkgZGlyZWN0bHkgb24gTG9zIEFuZ2VsZXMgQ0EgR2VlYm8uY29tIEZyZWUgQ2xhc3NpZmllZHMgQWRzIC0gR2VlYm8iLCJsaW5rIjoiaHR0cHM6Ly9sb3NhbmdlbGVzLWNhLmdlZWJvLmNvbS9qb2JzLW9ubGluZS92aWV3L2lkLzEwNzg5MTY1NzItZGF0YS1zY2llbnRpc3QtcHJvZHVjdC1hbmFseXRpY3MtLz91dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19
Data Scientist,None,Digital Marketing,Mid,Core Digital Media,Digital Marketing,"Los Angeles, CA",Los Angeles,CA,Hybrid,$114k - $130k,114000.0,130000.0,Full-Time,Masters,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCIsImh0aWRvY2lkIjoiekJsU01ZYjlIcVNKdGtmU0FBQUFBQT09IiwiZmMiOiJFcllDQ3ZjQlFVNTFWMmhqYlZaWVkwaG9OVk5SVjAxd2FsZFlTV1F3VmpGdE4zVTFUWHAxY2pOM1JrczRlSFZPZUZONU4xSlNOMDV1T1cxSVdYVTFNemhXTVdNelNrWkdNR3BEVld0U1QzTnZRbXcwUlU5bWFIUnRhM2xwUzNkRlFYZDVTVk01VkhGVlJFOXRhR2x1YzJwelVVVmxhV0Z2Y0U1M1NERmhUVTFmV0RsdWVVeGlNRmRrTlhoUGJFRXlNbGxyUVU5TFpHVTJUR3BsVW1aT01ESlNPRGd4WmxvelIzUjJRM2xvTldONmVFWnRWbGRJVG14cVlVNUlNM1YzVDJJeFYxRlhOMmRIU21nd05YRk9XRGRKVnpoemRraHdMVmR4UTJJMGMwbGlORlZCTFRoTWNXRlpNbEJGWWxOaGFIRkJkRk55Tm1kNlgydHJheElXWjFsSWJWcFpXWFo2WVROck1tY3RUSEUzWDI5RFp4b2lRVkJZYUcwMVdWRnlTMEpHU0UxSE1razNSMmxwZWpOUWRHdGxRVlZXZWpaVlp3IiwiZmN2IjoiMyIsImZjX2lkIjoiZmNfMSIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiIubkZnMmVie2ZvbnQtd2VpZ2h0OjUwMH0uQmk2RGRje2ZvbnQtd2VpZ2h0OjUwMH1BcHBseSBvbiBTYWxhcnkuY29tIiwibGluayI6Imh0dHBzOi8vd3d3LnNhbGFyeS5jb20vam9iL2NvcmUtZGlnaXRhbC1tZWRpYS9kYXRhLXNjaWVudGlzdC9qMjAyMjA0MTIwMTMyMzk2NDMzODYwP3V0bV9jYW1wYWlnbj1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9zb3VyY2U9Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fbWVkaXVtPW9yZ2FuaWMifX0=
Data Scientist,Principal,Identity Threat Detection and Response,Senior,VirtualVocations,Other,"Los Angeles, CA",Los Angeles,CA,On-Site,Not provided,,,Full-Time,None,eyJqb2JfdGl0bGUiOiJEYXRhIHNjaWVudGlzdCBhaSBtbCIsImh0aWRvY2lkIjoiYmxmY25ackxhV3hMUDlFVkFBQUFBQT09IiwiZmMiOiJFb3NDQ3N3QlFVNTFWMmhqYlhab2FHNDJYemxMUWpKWFJXcGZXWFZmUVZSWWQyNDBiVFJQUW1GelVGQnNVMGc1TkZGYWIyRlRZblU1Uldvd1lXdDViRGh0TjNsNGFWUnFaMnRrWkVKNFJuTjRPRXh6TlZreFF6RnFjMDFaVjBreE1tWlJTa0ZUY1c4eWRtdzNTVE5OVmpaeFQwcFpZM1ZHYVROblVrRkJXSEF6Y0VsMGQyVm5VV2t6VFVjeWFXcDZlRVl6T0UxZk0xcDFWQzB0YzFoTWRUbEZkRjlSV2pWT2JrMXpWRzFmTlROellYRkthSFF6TlRkS1VHMWpMVWhFVkVsb2NrVmxiM0ZyY0dVM1FrMVpTSE5vRWhabldVaHRXbGxaZG5waE0yc3laeTFNY1RkZmIwTm5HaUpCVUZob2JUVmFlRlJSUmxWaU1saFBSR0p5WXpWVVoyZHZTamR0TkZwdU4wSkIiLCJmY3YiOiIzIiwiZmNfaWQiOiJmY18zIiwiYXBwbHlfbGluayI6eyJ0aXRsZSI6IkFwcGx5IG9uIFRhbGVudC5jb20iLCJsaW5rIjoiaHR0cHM6Ly93d3cudGFsZW50LmNvbS92aWV3P2lkPTRhYTBmNTQ3YTFiZFx1MDAyNnV0bV9jYW1wYWlnbj1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9zb3VyY2U9Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fbWVkaXVtPW9yZ2FuaWMifX0=
Data Scientist,None,Product Analytics,Mid,codesbright,Other,"Los Angeles, CA",Los Angeles,CA,Hybrid,$103k - $104k,103000.0,104000.0,Full-Time,Masters,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCIsImh0aWRvY2lkIjoiWU1EYU8yd0t1amJUWS1IcEFBQUFBQT09IiwiZmMiOiJFb3NDQ3N3QlFVNTFWMmhqYlV4ck9VZGhOMjFhVjJWT1EzVnlUbTVXZVRnNE0zcGtRbWw2UlVaZlEzZzFWSGRvYWpoNVR6SlpVMlZ2VVVOa056RjVOMlYyUXpkTWEzZzFRVTltVDJacmNrWlBlRjg0YWtrd09GOXVSbUpvYm1aUGJHMW1abEo0YXpSSlpHRlFOVmd4ZG5wNWQwMWxUVVpuV1VWcWRWWlZjbDloYVdONmEySmZjamRwZFd4dGNEUmZRMDlmUzFZeWVWY3ljRnByUVVGR09XZ3paMDFEVVVVMUxXRkdRbFV5VDNwS1gwUlJVME5IVjJ4dVoyWlhjMFEyVVhSNVRYcG9aVGt4ZWt4YUxWSlliak01RWhabldVaHRXbGxaZG5waE0yc3laeTFNY1RkZmIwTm5HaUpCVUZob2JUVmFOa1V5TFU4MGRDMDBSRXhuUm5WYU9XUXljWFJpTTBsME4yaDMiLCJmY3YiOiIzIiwiZmNfaWQiOiJmY180IiwiYXBwbHlfbGluayI6eyJ0aXRsZSI6IkFwcGx5IG9uIE9QVG5hdGlvbiIsImxpbmsiOiJodHRwczovL3d3dy5vcHRuYXRpb24uY29tL2RhdGEtc2NpZW50aXN0LWpvYi1pbi1sb3MtYW5nZWxlcy1jYS12aWV3LWpvYmlkLTMzOTY1P3V0bV9jYW1wYWlnbj1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9zb3VyY2U9Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fbWVkaXVtPW9yZ2FuaWMifX0=
